Numéro;Matière (s) Active (s);Famille Chimique;Classe;Culture;indice GUS final;Coefficient d'adsorption (Koc);hydrolyse half-life (days);Solubilité (mg/L);"DT50 champ
(jours)";Hydrolyse à pH 7;"CL50 poisson
(mg.L-1)";CI50 daphnie (mg.L-1);CE50 algues (mg.L-1);CL50 min;DL50 Derm. Mg/kg;DL50 Oral Mg/kg;DJA mg/kg/jour;Classem  OMS;DAR (jour);Numéro Homologation;Nom Commercial;Formulation;Tableau Tox.;Teneur;Type de traitement;Dose PC
198;Nuarimol;Pyrimidine;Fongicide;;4,100;241,000;344,00;26,0000;150,0;très stable;12,1;25;2,5;2,5;> 2000;1250;0,025;III;;;;;;;;
199;Ofurace;Amide;Fongicide;;3,420;38,000;26,00;146,0000;26,0;instable;29;46;;29;> 5000;3500;0,03;III;;;;;;;;
200;Orthopenylphenol (OPP);;Fongicide;Agrumes: Fruits;0,879;347,000;4,00;700,0000;;;;;;;> 2000;2980;0,2;;NR;E11-8-007;DECCO-OPP 20;EC;C;100 g/l;"Traitement de post
récolte";500cc/hl
201;Oxadiazon;Oxadiazole;Herbicide;Agrumes, ail, oignon, pommier, poirier, riz et vigne;2,400;1294,000;502,00;0,5700;105,0;instable;0,8;2,4;0,0032;0,0032;> 2000;> 5000;0,005;III;-;A06-5-009;FESTIVAL;EC;C;250 g/l;Désherbage;4 l/ha
202;Oxamyl;Carbamate;Nématicide, acaricide, insecticide;Bananier et maraichage;2,290;16,000;6,60;148100,0000;10,2;instable;3,13;0,319;0,931;0,319;> 2000;3;0,03;1b;30 j;D06-4-001;VYDATE 10 G;GR;A;10%;Traitement des sols;50 kg/ha
203;Oxycarboxine;Amide;Fongicide;;2,900;65,000;21,20;1400,0000;20,0;stable;19,9;69,1;19;19;> 500;5816;0,15;III;15j;;;;;;;
204;Oxydéméton-méthyl;Organophosphoré;Insecticide;;0,000;29,000;1,00;1200000,0000;2,7;très stable;17;0,11;100;0,11;;50;0,003;1b;;;;;;;;
205;Oxyfluorfène;Diphényl-éther;Herbicide;Agrumes, canne à sucre, olivier et vigne;0,260;7566,000;138,00;0,1160;30,0;instable;0,2;0,032;0,00024;0,00024;> 10000;> 5000;0,003;III;60 j;E07-9-027;GOAL 480 SC;SC;C;480 g/l;Désherbage;2 l/ha
206;Oxyquinoléate de cuivre;;Fongicide;;;;;0,0700;;;;;;;> 2000;4700;0,02;III;;;;;;;;
207;Paecilomyces fumosoroseus;;Insecticide;Tomate;;;;6360,0000;;;;;;;;;;;-;E10-2-007;PREFERAL;WG;C;20%;Parties aériennes;530 g/ha
208;Paraquat;Ammonium quaternaire;Herbicide;Agrumes, arboriculture, vigne, luzerne;-7,398;1000000,000;5000,00;620000,0000;4117,5;très stable;19;4,4;0,00023;0,00023;911;150;0,004;II;-;A03-6-030;GRAMOXONE;SL;A;200 g/l;Désherbage;2-4 l/ha
209;Penconazole;Triazole;Fongicide;Concombre, cornichon, melon, vigne, tomate et courgette;1,360;2205,000;117,00;72,0000;86,0;stable;1,7;7;0,83;0,83;> 3000;2120;0,03;III;3 j;B02-5-001;TOPAS 100 EC;EC;C;100 g/l;Parties aériennes;25 cc/hl
210;Pendimethaline;Amine;Herbicide;Maïs, arachide, cotonnier, tomate tournesol et poivron;-0,320;13792,000;182,30;0,3300;99,2;stable;0,138;0,28;0,006;0,006;> 5000;1250;0,05;III;;B02-7-006;PROWL;EC;C;330 g/l;Désherbage;4 /ha
211;Penoxulam;;Herbicide;Riz;3,050;94,000;32,00;408,0000;;;;;;;> 5000;> 5000;0,05;III;-;E08-4-001;RAINBOW;OD;C;25 g/l;Désherbage;1 l/ha
212;Perméthrine;Pyréthrinoïde;Insecticide;Locaux de stockage;-1,110;100000,000;13,00;0,2000;42,0;stable;0,0125;0,006;0,0125;0,006;> 2000;500;0,05;II;-;E01-6-001;SMASH KILLER CE 10;SL;C;100 g/l;Traitement des locaux de stockage;1 cc/m²
213;Phenamiphos;Organophosphoré;Nématicide;Agrumes, bananier, melon, tabac, tomate;2,025;341,000;301,00;408,0000;1,8;très stable;0,0093;0,00012;3,8;0,00012;80;6;0,0008;1a;90 j;A11-3-038;NEMACUR 10 G;MG;A;10%;Traitement des sols;30 g/m²
214;Phenmédiphame;Carbamate;Herbicide;Betterave à sucre;1,650;888,000;37,00;1,8000;15,5;instable;1,7;0,41;0,086;0,086;1000;> 8000;0,03;III;-;948;BETANAL;EC;C;159 g/l;Désherbage;6 l/ha
215;Phenothiol ou MCPA-thioethyl;;Herbicide;;;74,000;;2,3000;;;;;;;> 1500;790;;III;;;;;;;;
216;Phenthoate;;Insecticide;Agrumes, pommier et plantes aromatique;1,540;1000,000;35,00;11,0000;;;;;;;2100;270;0,003;II;60 j;D02-4-003;ELSAN 50 EC;EC;C;50%;Parties aériennes;80 cc/hl
217;Phosalone;Organophosphoré;Insecticide;Arbres fruitiers, betterave à sucre et céréales;0,210;2063,000;2,00;1,4000;2,0;très stable;0,63;0,00074;1,1;0,00074;1500;120;0,02;II;21 j;568;ZOLONE 35 EC;EC;A;350 g/l;Parties aériennes;150 cc/hl
218;Phosphure d'aluminium;;Insecticide;Denrées stockées;;;;260,0000;;;;;;;> 2000;5800;;I;-;B07-7-001;"FUMITOXIN COMPRIMES
SPHERIQUES";FT;A;570 g/kg;"Traitement des
denrées stockées";4-6 cp/m³
219;Phoxime;Organophosphoré;Insecticide;;0,730;1148,000;6,00;1,5000;6,0;instable;0,22;0,00081;;0,00081;> 1000;> 2000;0,001;II;;;;;;;;
220;Pinoxaden;;Herbicide;Céréales: Blés;-0,680;349,000;0,34;200,0000;1,0;instable;;;;;> 2000;> 5000;0,1;III;-;E05-8-012;TRAXOS 045 EC;EC;C;"(22,5 + 22,5 +
6,25)g/l";Désherbage;1 l/ha
221;Prochloraze;Imidazole;Fongicide;;1,980;1440,000;223,60;26,5000;345,5;stable;;;;;3000;2400;0,01;III;;;;;;;;
222;Procymidone;Dicarboximide;Fongicide;Fraisier, haricot vert, tomate, pecher et vigne;4,120;378,000;784,50;2,4600;224,0;instable;7,22;1,8;2,6;1,8;> 2500;6800;0,1;III;7 j;B02-2-001;SUMISCLEX;WP;C;50%;Parties aériennes;100 g/hl
223;Profenofos;Organophosphoré;Insecticide, acaricide;;0,590;2016,000;7,00;28,0000;7,0;instable;0,08;0,5;;0,08;3300;358;0,01;II;;;;;;;;
224;Prometryne;Triazine;Herbicide;;0,586;4330,000;41,00;33,0000;41,0;stable;2,5;12,7;0,02;0,02;> 2020;> 2000;0,01;III;;;;;;;;
225;Promachlore;;Herbicide;;1,310;719,000;;722000,0000;;;;;;;> 20000;1800;;III;;;;;;;;
226;Propamocarbe -Hcl;Carbamate;Fongicide;Concombre, rosier, tomate et pomme de terre;1,840;706,000;39,30;1005000,0000;29,0;très stable;92;100;85;85;> 3000;> 2000;0,1;IV;30 j;D12-1-001;PREVICUR N;SL;C;722 g/l;Traitement des sols;3 cc/m²
227;Propaquizafop;Ester oxyme glycol;Herbicide;;0,984;2220,000;32,00;0,6300;47,3;stable;0,19;0,24;0,15;0,15;> 2000;> 5000;0,15;III;;;;;;;;
228;Propargite;Sulfonate;Acaricide;Agrumes, arboriculture, tomate et vigne;-1,310;50491,000;72,20;0,2150;16,2;très stable;0,0404;0,092;1,08;0,0404;4000;2800;0,1;III;21 j;B07-1-005;OMITE 30 WP;WP;C;30%;Parties aériennes;250 g/hl
229;Propiconazole;Triazole;Fongicide;Céréales: Blés;1,890;955,000;71,80;150,0000;108,4;stable;2,6;10,2;0,093;0,093;4000;1517;0,02;II;40 j;D11-7-008;APACHE 25 EC;EC;C;250 g/l;Parties aériennes;0,5-0,7 l/ha
230;Propinèbe;Thiocarbamate;Fongicide;Olivier, pomme de terre, tomate, vigne et haricot;1,739;18,000;4,30;10,0000;0,1;instable;0,4;4,7;2,68;0,4;> 5000;> 5000;0,007;III;40j;830;ANTRACOL 70 WP;WP;C;70%;Parties aériennes;250 g/hl
231;Propyzamide;Amide;Herbicide;Betterave à sucre et vigne;1,340;1626,000;50,50;9,0000;55,5;très stable;4,7;5,6;0,83;0,83;;8350;0,085;;28 j;E12-9-011;TALENDO;EC;C;200 g/l;Parties aériennes;2 kg/ha
232;Prosulfocarbe;Thiocarbamate;Herbicide;Pomme de terre et blé;0,840;1693,000;12,40;13,2000;9,8;très stable;0,113;1,3;0,113;0,113;> 2000;1820;0,05;III;-;E12-7-012;BOXER;EC;C;800 g/l;Désherbage;5 l/ha
233;Prosulfuron;Sulfonylurée;Herbicide;;5,110;14,200;62,10;4000,0000;16,4;très stable;160;120;0,0089;0,0089;> 2000;986;0,019;III;;;;;;;;
234;Prothiofos;;Insecticide;;-0,630;24158,000;45,00;0,0700;;;;;;;> 5000;1569;0,0001;II;;;;;;;;
235;Protothioconazole;Triazole;Fongicide;;-0,180;2556,000;0,50;300,0000;2,8;stable;1,83;1,3;1,1;1,1;;> 6200;0,05;;;;;;;;;
236;Pymétrozine;Triazinone;Insecticide;Cornichon, courgette, fraisier, pecher, pommier, poirier et tomate;0,650;1049,000;4,60;270,0000;14,0;très stable;100;87;21,6;21,6;> 2000;5820;0,03;III;3 j;E09-0-003;CHESS 50 WG;WG;C;50%;Parties aériennes;0,4 kg/ha
237;Pyraclostrobine;Strobilurine;Fongicide;;0,060;9315,000;62,00;1,9000;31,5;stable;0,006;0,016;0,152;0,006;;> 5000;0,04;III;;;;;;;;
238;Pyraflufen;Pyrazole;Herbicide;;0,793;1949,000;13,10;0,0800;3,0;instable;0,1;0,1;0,00023;0,00023;> 2000;> 5000;0,2;;;;;;;;;
239;Pyréthre;;Insecticide;;-1,544;100000,000;35,00;0,0010;;;;;;;5000;2370;0,04;II;;;;;;;;
240;Pyridabène;Pyridazone;Acaricide;Agrumes, arboriculture et tomate;-1,670;66503,000;106,00;0,0220;66,0;stable;0,0029;0,00038;1;0,00038;> 2000;1350;0,01;III;30 j;D04-3-002;NEXTER 200 EC;EC;A;200 g/l;Parties aériennes;55 cc/hl
241;Pyridaphenthion;Organophosphoré;Insecticide;;0,180;7211,000;18,00;100,0000;18,0;stable;7,5;;;7,5;2300;769;0,0015;III;;;;;;;;
242;Pyrifénox;Pyridine;Fongicide;;1,840;980,000;66,00;300,0000;66,0;stable;6,6;3,6;0,095;0,095;> 5000;2912;0,1;III;;;;;;;;
243;Pyriméthanil;Pyrimidine;Fongicide;Fraisier, haricot vert, tomate, pommier, vigne et fraisier;2,650;301,000;55,00;121,0000;34,0;très stable;10,56;2,9;1,2;1,2;> 5000;5971;0,2;III;14 j;D03-7-001;MYTHOS;SC;C;300 g/l;Parties aériennes;250 cc/hl
244;Pyrimicarbe;Carbamate;Insecticide;Agrume, arboriculture, maraichage et betterave à sucre;2,974;290,000;;2820,0000;65,8;stable;79;0,017;140;0,017;> 500;142;0,02;II;30 j;A02-6-003;PIRIMOR 50 DG;DG;A;50%;Parties aériennes;75 g/hl
245;Pyrimiphos-méthyl;Organophosphoré;Insecticide;Locaux et denrées stockées;1,525;1100,000;117,00;8,1500;39,0;très stable;0,2;0,00021;1;0,00021;> 2000;1415;0,03;III;-;A12-5-017;ACTELLIC 50 EC;EC;C;500 g/l;"Traitement des
denrées stockées";20 cc/t
246;Pyriproxyfène;Diphényl-éther;Insecticide;Agrumes, tomate, povron, vigne;-0,270;21175,000;6,70;0,3700;9,6;très stable;0,27;0,4;0,094;0,094;> 2000;5000;0,004;III;30 j;D05-7-001;ADMIRAL 10 EC;EC;C;100 g/l;Parties aériennes;25 cc/hl
247;Quinoxyfen;Quinoléine;Fongicide;Melon;-0,930;22929,000;374,00;0,0470;89,2;très stable;0,27;0,08;0,027;0,027;> 2000;5000;0,2;III;14 j;E01-0-001;ABIR 250 SC;SC;C;250 g/l;Parties aériennes;30 cc/hl
248;Quizalofop-P-ethyl;Aryloxyacide;Herbicide;Betterave à sucre, maraichage et légumineuse;-0,290;1816,000;0,40;0,6100;4,4;très stable;0,21;0,29;0,069;0,069;;1210;0,009;;75 j;D05-9-003;PANTERA 40 EC;SC;C;40 g/l;Désherbage;0,8-1 l/ha
249;Rimsulfuron;Sulfonylurée;Herbicide;Maïs et pomme de terre;3,230;47,000;24,30;7300,0000;10,5;instable;390;360;1,2;1,2;> 2000;> 5000;0,016;III;45 j;E07-2-002;TITUS 25 DF;WG;C;25%;Désherbage;60 g/ha
250;Roténone;Biopesticide;Insecticide, acaricide;;0,000;10000,000;1,30;15,0000;2,0;instable;0,0019;0,004;0,6;0,0019;> 1500;;132;II;;;;;;;;
251;Séthoxydime;Cyclohexanedione;Herbicide;;0,000;75,000;1,00;4700,0000;5,0;très stable;170;1,5;0,64;0,64;> 5000;3200;0,14;III;;;;;;;;
252;Simazine;Triazine;Herbicide;;2,000;750,000;60,00;5,0000;90,0;très stable;90;1,1;0,04;0,04;> 2000;10000;0,005;III;;;;;;;;
253;S-métolachlore;Chloroacetamide;Herbicide;Maïs;1,910;226,100;14,50;480,0000;21,0;très stable;1,23;1,4;0,008;0,008;;> 2000;0,1;;-;E02-3-005;DUAL GOLD 960 EC;EC;C;960 g/l;Désherbage;1,5 l/ha
254;Soufre;Minéral;Fongicide;Toutes cultures;1,049;1950,000;30,00;0,0600;1000,0;stable;180;5000;100;100;> 2000;> 5000;;III;15 j;E04-6-016;CSC 80% THIOSPERSE;WP;C;80%;Parties aériennes;300-500 g/hl
255;Spinosade;Biopesticide;Insecticide;Céréales: Grains, agrume, poivron, tomate, haricot vert, fraisier;-0,618;34600,000;14,00;235,0000;1,0;très stable;4;1;0,079;0,079;> 2000;3783;0,027;III;NR;E04-6-010;SPINTOR 0.125 D;DP;C;1,25%;"Traitement des
denrées stockées";75 g/ql
256;Spiroxamine;Amine;Fongicide;Céréales: Blés;-0,250;14567,000;35,00;405,0000;24,5;très stable;7,13;6,1;0,003;0,003;;> 500;0,025;;35 j;E07-6-005;FALCON 460 EC;EC;C;"(250 + 167 +
43)g/l";Parties aériennes;0,8 l/ha
257;Spirotetramat;;Insecticide;Agrumes et vignes;-1,120;281,000;0,19;29,9000;;;;;;;2000;2000;;;;;;;;;;
258;Strychnine;;Rodenticide;;;7,200;;143,0000;;;;;;;;16;;1b;;;;;;;;
259;Sulfosate;Acide aminé;Herbicide;;-1,139;24700,000;796,00;3310000,0000;19,7;très stable;1800;12;0,72;0,72;> 2000;748;0,1;III;;;;;;;;
260;Sulfosulfuron;Sulfonylurée;Herbicide;Céréales: Blés;4,480;33,000;63,80;1627,0000;28,5;très stable;91;96;0,221;0,221;> 5000;> 5000;0,24;III;70 j;D11-9-001;APYROS;WG;C;75%;Désherbage;26,6 g/ha
261;Tau-Fluvalinate;Pyréthrinoïde;"Insecticide-
Acaricide";Agrumes, haricot ver, tomate et vigne;-1,890;186000,000;31,00;0,0010;90,8;instable;0,0048;0,00085;10;0,00085;> 2000;261;0,01;II;30 j;D12-0-001;MAVRIK 2F;EC;C;240 g/l;Parties aériennes;15 et 20 cc/hl
262;Tébuconazole;Triazole;Fongicide;Céréales: Blés, semense, haricot, tomate, et vigne;2,850;769,000;365,00;36,0000;31,0;stable;4,4;2,8;1,96;1,96;> 5000;4000;0,03;III;40 j;D02-5-002;FOLICUR 250 EW;EW;C;250 g/l;Parties aériennes;0,4 l/ha
263;Tébufénozide;Hydrazide;Insecticide;;1,760;572,000;26,20;0,8300;13,0;très stable;3;3,8;0,21;0,21;> 5000;5000;0,02;III;;;;;;;;
264;Tébufenpyrad;Amide;Acaricide;Framboisier, poirier, pommier et tomate;0,580;4204,000;33,90;2,3900;4,5;instable;0,0178;0,0402;0,54;0,0178;> 2000;595;0,01;III;14 j;D01-7-002;MASAI;WP;C;20%;Parties aériennes;375 g/ha
265;Terbutryne;Triazine;Herbicide;;2,400;518,000;74,00;25,0000;52,0;stable;1,1;2,66;0,0024;0,0024;> 10200;2400;0,027;III;;;;;;;;
266;Tétraconazole;Triazole;Fongicide;Betterave à sucre, curcubitacées, betterave à sucre, tomate, fraisier, vigne, pommier et pecher;1,810;1152,000;83,80;156,6000;60,9;stable;4,3;3;2,4;2,4;> 2000;1248;0,015;II;45 j;D12-3-002;EMERALD 125;ME;C;125 g/l;Parties aériennes;0,5 l/ha
267;Tetradifon (Tédion);Sulfone ;Acaricide;Concombre, couregette, melon, tomate, pastèque et vigne;4,100;100,000;112,00;0,0780;112,0;stable;880;2;100;2;10000;> 14700;0,0075;III;15 j;D08-0-001;TEDION;EC;C;75,2%;Parties aériennes;150 cc/hl
268;Tetrathiocarbonate;;Nématicide;Sols nus;;220,000;;2300,0000;;;;;;;> 2000;631;6;;-;D11-7-009;ENZONE;SL;C;400 g/l;Traitement des sols;600 l/ha
269;Thiabendazole;Benzimidazole;Fongicide;Agrumes: Fruits;2,040;2091,000;1000,00;30,0000;732,0;instable;0,55;0,81;9;0,55;> 2000;3100;0,1;III;NR;E11-3-001;TECTO 500 SC;SC;C;500 g/l;"Traitement de post
récolte";0,75 l/hl cire
270;Thiacloprid;Pyridine;Insecticide;Agrumes, arboriculture, laitue, fraisier, haricot vert et plante aromatique;0,140;615,000;1,30;184,0000;15,5;très stable;25,2;85,1;44,7;25,2;;;0,01;;14 j;E01-2-001;CALYPSO 480 SC;SC;C;480 g/l;Parties aériennes;25 cc/hl
271;Thiamethoxam;Néonicotinoide;Insecticide;Agrumes, tomate, melon et poivron;4,690;56,200;121,00;4100,0000;52,0;très stable;125;100;81,8;81,8;> 2000;1500;0,026;III;28 j;E11-9-036;CALIXAM;WG;C;25%;Parties aériennes;20 g/hl
272;Thifensulfuron méthyle;Sulfonylurée;Herbicide;Céréales: Blés;0,440;9,000;1,39;54,1000;10,0;très stable;100;470;0,0159;0,0159;> 2000;5000;0,01;III;-;E12-7-011;HARMONY EXTRA;WG;C;(50 + 25)%;Désherbage;20 g/ha
273;Thiocyclam;;Insecticide;Agrumes et tomate;0,000;20,000;1,00;84000,0000;;;;;;;1000;310;;II;30 j;D02-8-002;EVISECT S;WP;C;50%;Parties aériennes;50 g/hl
274;Thiométon;Organophosphoré;Insecticide;;0,370;579,000;2,00;200,0000;2,0;instable;3,7;8,2;12,8;3,7;1429;73;0,003;1b;;;;;;;;
275;Thiophanate méthyle;Thiocarbamate;Fongicide;Toute culture;-0,366;225,000;0,60;20,0000;15,0;instable;0,046;0,011;0,065;0,011;> 10000;> 6000;0,08;III;14 j;E11-9-011;MILTOP;WG;C;70%;Parties aériennes;100 g/hl
276;Thirame;Thiocarbamate;Fongicide;Toute culture;0,010;9629,000;4,89;18,0000;15,0;instable;0,046;0,011;0,065;0,011;> 1000;560;0,01;III;15 j;942;BASULTRA;WP;C;80%;Parties aériennes;250 g/hl
277;Tolclofos-méthyle;Organophosphoré;Fongicide;"Pomme de terre:
semences";0,251;3620,000;97,00;0,7080;15,0;très stable;0,69;48;1,1;0,69;> 5000;5000;0,07;III;NR;D03-9-009;RIZOLEX 50 WP;WP;C;50%;"Traitement des
semences";1 kg/ql
278;Tolylfluanide;Sulfamide;Fongicide;Pommier, fraisier et vigne;0,934;2,200;1,80;0,9000;6,0;instable;0,045;0,19;1;0,045;> 5000;> 5000;0,08;III;35 j;E06-5-006;EUPARENE M 50 WG;WG;C;50%;Parties aériennes;150 g/hl
279;Tralkoxydime;Cyclohexanedione;Herbicide;Céréales: Blés;0,830;102,000;2,60;6,1000;14,0;très stable;1,6;175;5,1;1,6;> 2000;1324;0,005;III;-;D12-8-002;MAJOR 25 SC;SC;C;250 g/l;Désherbage;1 l/ha
280;Tralométhrine;Pyréthrinoïde;Insecticide;;-2,230;359732,000;27,00;0,0800;3,0;stable;0,0016;0,000038;;0,000038;> 2000;3000;0,0075;II;;;;;;;;
281;Triadiméfon;Triazole;Fongicide;;1,590;749,000;26,00;70,0000;26,0;stable;4,08;7,16;2,01;2,01;> 5000;1000;0,03;III;;;;;;;;
282;Triadiménol;Triazole;Fongicide;Pommier, tomate, melon, vigne, blé, fraisier et abricotier;3,340;273,000;136,70;72,0000;64,9;très stable;15;2,5;3,7;2,5;> 5000;700;0,05;III;15 j;B12-7-008;BAYFIDAN 250 EC;EC;C;250 g/l;Parties aériennes;20 cc/hl
283;Tria-allate;Thiocarbamate;Herbicide;;0,650;4301,000;58,30;4,1000;97,0;stable;1,2;0,091;0,12;0,091;8200;;0,001;III;;;;;;;;
284;Triasulfuron;Sulfonylurée;Herbicide;Céréales: Blés;5,120;12,800;59,10;815,0000;19,0;très stable;100;100;0,035;0,035;> 2000;> 5000;0,012;III;-;E01-6-002;ARRAT;WG;C;0,25;Désherbage;200 g/ha
285;Tribénuron-méthyl;Sulfonylurée;Herbicide;Céréales: Blés;2,430;31,600;9,40;2483,0000;10,0;instable;738;894;0,11;0,11;> 2000;> 5000;0,008;III;NR;E11-9-072;DYCOSTAR;WG;C;75%;Parties aériennes;12,5 g/ha
286;Trichlorfon;Organophosphoré;Insecticide;Agrumes, betterave, olivier, agrume, tomate et arboriculture;3,770;10,000;18,00;120000,0000;18,0;instable;0,7;;10;0,7;> 5000;5250;0,01;III;10 j;B12-3-003;TRICHLORFON 80 PS;EC;A;80%;Parties aériennes;150 g/hl
287;Triclopyr;Acide carboxylique;"Régulateur de
croissance";"Agrumes:
Clémentinier";3,690;48,000;39,00;8100,0000;46,3;stable;117;131;758;117;> 2000;692;0,005;III;45 j;D04-5-001;MAXIM;SP;C;10%;Parties aériennes;1,5 pastilles/hl
288;Tricyclazole;;Fongicide;Riz;5,340;144,000;795,00;596,0000;;;;;;;;514;;;15 j;E07-6-004;BEAM 75 WP;WP;C;750 g/kg;Parties aériennes;0,3 kg/ha
289;Tridémorphe;Morpholine;Fongicide;;0,320;6250,000;35,00;1,1000;24,0;stable;3,4;1,3;0,28;0,28;4000;480;0,016;II;;;;;;;;
290;Triflimizole;;Fongicide;Concombre, melon et vigne;0,960;1373,000;13,00;10,5000;;;;;;;> 5000;715;;III;;;;;;;;
291;Trifloxystrobine;Strobilurine;Fongicide;Pommier, tomate, fraisier, melon, poivron et vigne;0,190;2377,000;2,00;0,6100;8,6;très stable;0,015;0,011;0,0053;0,0053;> 2000;> 5000;0,05;III;14 j;E10-2-001;FLINT 50 WG;WG;C;50%;Parties aériennes;100 g/hl
292;Triflumuron;Benzoylurée;Insecticide;;-0,050;11981,000;4,30;0,0400;22,0;très stable;0,9;0,001;25;0,001;> 5000;> 5000;0,0072;III;;;;;;;;
293;Trifluraline;Amine;Herbicide;;0,130;8765,000;181,00;0,2210;170,0;très stable;0,088;0,245;0,0122;0,0122;> 5000;> 5000;0,024;III;;;;;;;;
294;Triflusulfuron-méthyle;Sulfonylurée;Herbicide;Betterave à sucre;1,820;58,000;6,50;260,0000;3,0;stable;730;960;0,046;0,046;> 2000;> 5000;0,05;III;90 j;D09-5-001;SAFARI;WP;C;50%;Désherbage;30 g/ha
295;Triforine;Pipérazine;Fongicide;;1,630;527,000;19,00;9,0000;21,0;instable;1000;25;380;25;> 10000;> 6000;0,02;III;;;;;;;;
296;Triflumizole;;Fongicide;Concombre;0,960;1373,000;13,00;10,5000;;;;;;;> 2000;5000;0,0125;;20 j;B04-7-001;ARRADARE 3000;WP;C;30%;Parties aériennes;15-25 g/hl
297;Valiphénal;Acylamino acid ;Fongicide;Pomme de terre;-0,680;735,000;0,25;24,1000;0,3;très stable;;;;;> 2000;> 5000;0,07;III;21 j;E11-8-026;VALIS M;WG;C;(6 + 60)%;Parties aériennes;2,5 l/ha
298;Zeta-cyperméthrine;Pyréthrinoïde;Insecticide;Betterave à sucre, courgette, haricot vert et tomate;-1,930;121786,000;60,00;0,0390;14,0;instable;0,00069;0,000148;10;0,000148;> 2000;105,5;0,02;1b;30 j;E04-1-005;FURY 100 EW;EW;C;100 g/l;Parties aériennes;200 cc/ha
299;Zinèbe;Dithiocarbamate;Fongicide;;1,480;1000,000;30,00;10,0000;19,5;instable;20,8;40;0,51;0,51;> 6000;> 5200;0,03;III;;;;;;;;
300;Zirame;Dithiocarbamate;Fongicide;Arbres fruitiers, légumineuse, plante florale, ornomentale et haricot vert;-0,680;3007,000;0,05;0,9670;6,3;instable;0,00097;0,048;0,066;0,00097;> 2000;2068;0,003;III;28 j;972;BASAFORT;WP;C;90%;Parties aériennes;250 g/hl
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
